,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
147,80.42,China,7.25,7.08,7.25,7.17,Washed / Wet,7.33,7.17,10.0,10.0,10.0,7.17,0.17,0,14,44.67079740384615
148,78.67,China,7.0,6.92,6.83,7.17,Washed / Wet,7.17,7.17,10.0,10.0,9.33,7.08,0.0,0,5,44.67079740384615
149,78.0,China,7.33,7.17,6.92,7.08,Washed / Wet,7.33,7.0,9.33,9.33,9.33,7.17,0.1,0,28,44.67079740384615
150,86.0,Colombia,7.75,7.92,7.83,8.08,Washed / Wet,8.08,8.17,10.0,10.0,10.0,8.17,0.12,1,1,76.52182769230768
151,85.92,Colombia,8.0,8.0,8.0,8.17,Washed / Wet,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,0,76.52182769230768
152,85.25,Colombia,8.17,7.92,7.83,8.0,Washed / Wet,7.58,7.83,10.0,10.0,10.0,7.92,0.11,0,0,76.52182769230768
153,85.25,Colombia,7.58,8.08,7.92,7.83,Natural / Dry,8.0,7.92,10.0,10.0,10.0,7.92,0.12,0,2,76.52182769230768
154,85.08,Colombia,8.17,7.83,7.58,8.08,Natural / Dry,8.0,7.75,10.0,10.0,10.0,7.67,0.0,0,0,76.52182769230768
155,85.08,Colombia,7.83,8.0,7.75,7.75,Natural / Dry,7.83,7.83,10.0,10.0,10.0,8.08,0.11,0,8,76.52182769230768
156,85.0,Colombia,8.0,7.92,7.75,7.92,Washed / Wet,7.75,7.83,10.0,10.0,10.0,7.83,0.0,0,3,76.52182769230768
157,84.92,Colombia,7.92,7.92,7.67,7.83,Washed / Wet,7.92,7.83,10.0,10.0,10.0,7.83,0.0,1,2,76.52182769230768
158,84.92,Colombia,7.92,7.83,7.75,7.83,Washed / Wet,7.75,8.0,10.0,10.0,10.0,7.83,0.12,0,1,76.52182769230768
159,84.92,Colombia,7.75,7.92,7.83,7.75,Washed / Wet,7.75,8.0,10.0,10.0,10.0,7.92,0.11,0,3,76.52182769230768
160,84.67,Colombia,7.75,7.83,7.75,7.83,Washed / Wet,7.75,7.83,10.0,10.0,10.0,7.92,0.0,0,0,76.52182769230768
161,84.58,Colombia,7.83,7.67,7.58,7.92,Washed / Wet,7.67,7.83,10.0,10.0,10.0,8.08,0.0,0,4,76.52182769230768
162,84.58,Colombia,7.92,7.83,7.58,8.0,Washed / Wet,7.83,7.67,10.0,10.0,10.0,7.75,0.0,0,5,76.52182769230768
163,84.58,Colombia,7.67,7.67,7.58,7.75,Washed / Wet,7.58,8.5,10.0,10.0,10.0,7.83,0.0,0,0,76.52182769230768
164,84.58,Colombia,7.75,7.75,7.83,7.75,Washed / Wet,7.58,8.0,10.0,10.0,10.0,7.92,0.0,0,5,76.52182769230768
165,84.58,Colombia,7.67,7.83,7.83,8.0,Washed / Wet,7.58,7.92,10.0,10.0,10.0,7.75,0.0,0,2,76.52182769230768
166,84.58,Colombia,7.42,7.67,7.75,7.75,Washed / Wet,8.08,7.83,10.0,10.0,10.0,8.08,0.11,0,6,76.52182769230768
167,84.5,Colombia,8.08,7.67,7.83,7.83,Washed / Wet,7.67,7.67,10.0,10.0,10.0,7.75,0.12,1,0,76.52182769230768
168,84.42,Colombia,7.92,7.83,7.75,7.67,Natural / Dry,7.92,7.67,10.0,10.0,10.0,7.67,0.0,0,1,76.52182769230768
169,84.42,Colombia,7.92,7.75,7.67,7.92,Washed / Wet,7.67,7.75,10.0,10.0,10.0,7.75,0.0,0,3,76.52182769230768
170,84.33,Colombia,7.58,7.75,7.5,7.83,Washed / Wet,7.67,8.5,10.0,10.0,10.0,7.5,0.0,0,5,76.52182769230768
171,84.33,Colombia,7.67,7.67,7.75,7.83,,7.75,7.83,10.0,10.0,10.0,7.83,0.0,0,4,76.52182769230768
172,84.33,Colombia,7.75,7.67,8.0,7.67,Natural / Dry,8.08,7.83,10.0,10.0,10.0,7.33,0.11,6,0,76.52182769230768
173,84.33,Colombia,7.75,7.58,7.33,7.83,Washed / Wet,7.58,8.08,10.0,10.0,10.0,8.17,0.0,0,0,76.52182769230768
174,84.25,Colombia,7.83,7.58,7.75,7.58,Natural / Dry,7.67,8.0,10.0,10.0,10.0,7.83,0.11,0,2,76.52182769230768
175,84.25,Colombia,7.67,7.67,7.75,7.75,Washed / Wet,7.67,7.92,10.0,10.0,10.0,7.83,0.11,0,3,76.52182769230768
176,84.25,Colombia,7.83,7.67,7.75,7.58,Washed / Wet,7.92,7.75,10.0,10.0,10.0,7.75,0.12,4,2,76.52182769230768
177,84.25,Colombia,7.83,7.75,7.83,7.58,Washed / Wet,7.67,7.75,10.0,10.0,10.0,7.83,0.12,0,0,76.52182769230768
